,Close,period
0,41.341453552246094,20181123
1,41.90054321289063,20181126
2,41.80936050415039,20181127
3,43.41704177856445,20181128
4,43.08351516723633,20181129
5,42.85076904296875,20181130
6,44.34806060791016,20181203
7,42.39724349975586,20181204
8,41.92454147338867,20181206
9,40.42962265014648,20181207
10,40.69598388671875,20181210
11,40.46323013305664,20181211
12,40.57601165771485,20181212
13,41.01992416381836,20181213
14,39.70737075805664,20181214
15,39.337852478027344,20181217
16,39.84894943237305,20181218
17,38.60599899291992,20181219
18,37.63178634643555,20181220
19,36.168067932128906,20181221
20,35.23225021362305,20181224
21,37.71336364746094,20181226
22,37.46860885620117,20181227
23,37.4878158569336,20181228
24,37.85014724731445,20181231
25,37.89333724975586,20190102
26,34.11888122558594,20190103
27,35.575401306152344,20190104
28,35.49620056152344,20190107
29,36.17286682128906,20190108
30,36.78715133666992,20190109
31,36.904727935791016,20190110
32,36.54240036010742,20190111
33,35.9929084777832,20190114
34,36.72956085205078,20190115
35,37.17827224731445,20190116
36,37.39902877807617,20190117
37,37.62939453125,20190118
38,36.78474807739258,20190122
39,36.93352508544922,20190123
40,36.64077758789063,20190124
41,37.85493850708008,20190125
42,37.50460815429688,20190128
43,37.11587524414063,20190129
44,39.652191162109375,20190130
45,39.9377326965332,20190131
46,39.95692443847656,20190201
47,41.09190368652344,20190204
48,41.79496383666992,20190205
49,41.80936050415039,20190206
50,41.01751327514648,20190207
51,41.065711975097656,20190208
52,40.82955551147461,20190211
53,41.18138885498047,20190212
54,41.010292053222656,20190213
55,41.15970230102539,20190214
56,41.06812286376953,20190215
57,41.19101333618164,20190219
58,41.45610809326172,20190220
59,41.22234344482422,20190221
60,41.6826286315918,20190222
61,41.98625946044922,20190225
62,42.0103645324707,20190226
63,42.14049530029297,20190227
64,41.72599792480469,20190228
65,42.16459274291992,20190301
66,42.37665557861328,20190304
67,42.29954528808594,20190305
68,42.05615615844727,20190306
69,41.56937026977539,20190307
70,41.66816711425781,20190308
71,43.11164093017578,20190311
72,43.59602355957031,20190312
73,43.7888069152832,20190313
74,44.27558517456055,20190314
75,44.85153579711914,20190315
76,45.30941009521485,20190318
77,44.950340270996094,20190319
78,45.34313583374024,20190320
79,47.01314163208008,20190321
80,46.0395736694336,20190322
81,45.4829216003418,20190325
82,45.012996673583984,20190326
83,45.41785430908203,20190327
84,45.47809219360352,20190328
85,45.77448272705078,20190329
86,46.08536529541016,20190401
87,46.75529098510742,20190402
88,47.075801849365234,20190403
89,47.1577377319336,20190404
90,47.47341537475586,20190405
91,48.22046661376953,20190408
92,48.07586669921875,20190409
93,48.34577560424805,20190410
94,47.943336486816406,20190411
95,47.92405700683594,20190412
96,48.01079559326172,20190415
97,48.01562881469727,20190416
98,48.95063781738281,20190417
99,49.12655258178711,20190418
100,49.28800201416016,20190422
